[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/edit.svg?import&raw → 200 (15ms, 3614B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/hearing.svg?import&raw → 200 (16ms, 10472B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/menu.svg?import&raw → 200 (16ms, 1223B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/more.svg?import&raw → 200 (16ms, 5983B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/next.svg?import&raw → 200 (16ms, 1487B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/notes.svg?import&raw → 200 (18ms, 1213B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/open-in-full.svg?import&raw → 200 (18ms, 1294B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/reorder.svg?import&raw → 200 (17ms, 1227B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/review.svg?import&raw → 200 (17ms, 5273B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/search.svg?import&raw → 200 (17ms, 5079B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/settings.svg?import&raw → 200 (20ms, 12811B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/sound.svg?import&raw → 200 (18ms, 4449B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/star-fill.svg?import&raw → 200 (19ms, 1632B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/star.svg?import&raw → 200 (19ms, 2560B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/swap-vert.svg?import&raw → 200 (20ms, 1803B)
[2026-09-13T15:31:22.756Z] GET http://127.0.0.1:5173/src/icons/swap.svg?import&raw → 200 (20ms, 1795B)
[2026-09-13T15:31:22.757Z] GET http://127.0.0.1:5173/src/icons/text-fields.svg?import&raw → 200 (19ms, 1316B)
[2026-09-13T15:31:22.757Z] GET http://127.0.0.1:5173/src/icons/unfold-more.svg?import&raw → 200 (19ms, 1798B)
[2026-09-13T15:31:22.757Z] GET http://127.0.0.1:5173/src/icons/visibility-off.svg?import&raw → 200 (19ms, 11121B)
